Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Diploma authenticity (as in Notion),Category of diploma authenticity (quadripartite simplification),Beneficiary,Beneficiary: commu or person,Beneficiary person: lay or ecclesiastic,Diploma preserved at (archive),Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Archive Lat,Archive Lon,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance between estate and promulgation site,Distance between estate and archive,Int Estate Promulgation Distance
Bishops Waltham,"50.9536","-1.2118","904",S 372,authentic,authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Hampshire,Bickleigh,"50.9540325","-1.2143351",Shire match,,,,"50.8427425","-3.502667","50.9536","-1.2118","161.6298587942",,
Portchester,"50.842","-1.12","904",S 372,authentic,authentic,,,,,"1",Hampshire,Bickleigh,"50.8488504","-1.125024",Shire match,"CONSIDER REMOVING: WAS NOT DONATED BY MONARCH, WAS RECEIVED BY MONARCH IN EXCHANGE FOR ANOTHER PROPRETY",,,"50.8427425","-3.502667","50.842","-1.12","167.8165239571",,
Taunton,"51.019","-3.1","904",S 373,probably authentic,likely authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Somerset,Bickleigh,"51.0147895","-3.1029086",Shire match,,,,"50.8427425","-3.502667","51.019","-3.1","34.435891616",,
Compton,"51.295","-2.869","904",S 373,probably authentic,likely authentic,,,,,"1",Somerset,Bickleigh,"51.2894146","-2.8505896",Shire match,"CONSIDER REMOVING: WAS NOT DONATED BY MONARCH, WAS RECEIVED BY MONARCH IN EXCHANGE FOR ANOTHER PROPRETY",,,"50.8427425","-3.502667","51.295","-2.869","67.1130538125",,
Crowcombe,"51.124","-3.2273","904",S 373,probably authentic,likely authentic,,,,,"1",Somerset,Bickleigh,"51.1169848","-3.2309709",Shire match,"CONSIDER REMOVING: WAS NOT DONATED BY MONARCH, WAS RECEIVED BY MONARCH IN EXCHANGE FOR ANOTHER PROPRETY",,,"50.8427425","-3.502667","51.124","-3.2273","36.7823043149",,
Stoce by Shalbourne,"51.368","-1.55","904",S 373,probably authentic,likely authentic,,,,,"1",Wiltshire,Bickleigh,,,Not found,"CONSIDER REMOVING: WAS NOT DONATED BY MONARCH, WAS RECEIVED BY MONARCH IN EXCHANGE FOR ANOTHER PROPRETY",,,"50.8427425","-3.502667","51.368","-1.55","148.7167178336",,
Banwell,"51.327","-2.864","904",S 373,probably authentic,likely authentic,,,,,"1",Somerset,Bickleigh,"51.3279764","-2.8629427",Shire match,"CONSIDER REMOVING: WAS NOT DONATED BY MONARCH, WAS RECEIVED BY MONARCH IN EXCHANGE FOR ANOTHER PROPRETY",,,"50.8427425","-3.502667","51.327","-2.864","70.0353198631",,
Micheldever,"51.148569","-1.265595","904",S 374,probably authentic,likely authentic,"Winchester, Old Minster",community,,"Winchester, New Minster","1",Hampshire,Bickleigh,"51.1573724","-1.2576789",Shire match,,,,"50.8427425","-3.502667","51.148569","-1.265595","160.6879827383",,
Collingbourne,,,"933",S 379,authentic,authentic,Wulfgar 11,person,ecclesiastic,"Winchester, New Minster","1",Wiltshire,Wilton,"51.2759545","-1.6369214",Shire match,,,,"51.0805315","-1.8607051","51.2759545","-1.6369214","26.7873380969",,
Burleston,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.7476294","-2.3180015",Shire match,,,,"50.7132064","-2.4371229","50.7476294","-2.3180015","9.2411391177",,
Cattistock,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.8097933","-2.5913499",Shire match,,,,"50.7132064","-2.4371229","50.8097933","-2.5913499","15.2925250349",,
Chalmington,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.8056347","-2.5770133",Shire match,,,,"50.7132064","-2.4371229","50.8056347","-2.5770133","14.2531026209",,
Clyffe in Tincleton,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,,,Not found,,,,"50.7132064","-2.4371229","50.728440281","-2.3108449264","9.0771054549",,
Compton Abbas,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.9649957","-2.187397",Shire match,,,,"50.7132064","-2.4371229","50.9649957","-2.187397","33.0758328354",,
Ercecombe (Yarcombe)/Stokelonde (Stockland),,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Devonshire,Dorchester,,,Not found,,,,"50.7132064","-2.4371229",,,,,
Hillfield,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.625128","-2.240709",Shire match,,,,"50.7132064","-2.4371229","50.625128","-2.240709","16.9944435795",,
Holworth,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.6496111","-2.3303023",Shire match,,,,"50.7132064","-2.4371229","50.6496111","-2.3303023","10.3463806452",,
Little Puddle,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,,,Not found,,,,"50.7132064","-2.4371229",,,,,
Lyscombe,,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.6810991","-2.2351315",Shire match,,,,"50.7132064","-2.4371229","50.6810991","-2.2351315","14.7115820389",,
Milborne (St Andrew),,,"934",S 391,disputed (probably spurious),likely spurious,Milton abbey,community,,Milton,"1",Dorset,Dorchester,"50.7764648","-2.277241",Shire match,,,,"50.7132064","-2.4371229","50.7764648","-2.277241","13.2991247965",,
