Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance
Merstham,,,967,S 752,1,Surrey,Kingston-on-Thames,51.2641687,-0.150065,Shire match,,51.6743611,-1.2821216,51.2641687,-0.150065,90.9416815585948
Merstham,,,1051,S 1047,1,Surrey,Kingston-on-Thames,51.2641687,-0.150065,Shire match,,51.6743611,-1.2821216,51.2641687,-0.150065,90.9416815585948
Mitcham,,,933,S 420,1,Surrey,Kingston-on-Thames,51.353138,-0.7204885,Shire match,,51.6743611,-1.2821216,51.353138,-0.7204885,52.889640741789
Molesey,,,933,S 420,1,Surrey,Kingston-on-Thames,51.4029006,-0.3713094,Shire match,,51.6743611,-1.2821216,51.4029006,-0.3713094,70.0395540859751
Pendrea,,,925,S 450,1,Cornwall,Kingston-on-Thames,50.5282232,-4.6800605,Shire match,,51.6743611,-1.2821216,50.5282232,-4.6800605,269.972780486883
Petersham,,,933,S 420,1,Surrey,Kingston-on-Thames,51.3414264,-0.4776999,Shire match,,51.6743611,-1.2821216,51.3414264,-0.4776999,67.0164346896703
Pointers in Cobham,51.3201295996023,-0.438680427449106,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,Placed on the end of Pointers Road,51.6743611,-1.2821216,51.3201295996023,-0.438680427449106,70.5965101216518
Streatham,51.4296059316044,-0.129376852404363,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,51.4296059316044,-0.129376852404363,84.4649344351563
"Suthmeresfelda (Canon’s Farm,  Banstead)",51.3047869908486,-0.211060316539425,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,51.3047869908486,-0.211060316539425,84.9979317148919
Sutton,,,933,S 420,1,Surrey,Kingston-on-Thames,51.1967997,-0.6229249,Shire match,,51.6743611,-1.2821216,51.1967997,-0.6229249,70.1724092197272
Tadworth,,,933,S 420,1,Surrey,Kingston-on-Thames,51.2912247,-0.2326709,Shire match,,51.6743611,-1.2821216,51.2912247,-0.2326709,84.448311285451
Thorpe,,,933,S 420,1,Surrey,Kingston-on-Thames,51.408913,-0.5329621,Shire match,,51.6743611,-1.2821216,51.408913,-0.5329621,59.7790045776868
Thunderfield,,,933,S 420,1,Surrey,Kingston-on-Thames,51.1674651,-0.1419385,Shire match,,51.6743611,-1.2821216,51.1674651,-0.1419385,97.3162331468357
Tooting,51.4290273199693,-0.165046258885163,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,51.4290273199693,-0.165046258885163,82.1487386859006
Treikyn,,,925,S 450,1,Cornwall,Kingston-on-Thames,,,Not found,Cannot find a Treikyn in Cornwall,51.6743611,-1.2821216,,,
Treverven,,,925,S 450,1,Cornwall,Kingston-on-Thames,50.0573016,-5.6175537,Shire match,,51.6743611,-1.2821216,50.0573016,-5.6175537,354.196846510229
Waddington,,,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,Based on Open Domesday https://opendomesday.org/place/TQ3158/waddington/,51.6743611,-1.2821216,51.3594005988332,-0.138847776141533,86.7511225666525
Warkton,,,946,S 520,1,Northamptonshire,Kingston-on-Thames,52.417541,-0.6602266,Shire match,,51.6743611,-1.2821216,52.417541,-0.6602266,93.0500298537654
Werburginland (? Way (Wayborough) near Minster),51.3389304215595,1.32945717833329,924,S 394,1,Kent,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,51.3389304215595,1.32945717833329,185.112767249495
West Clandon,,,933,S 420,1,Surrey,Kingston-on-Thames,51.2608611,-0.5103708,Shire match,,51.6743611,-1.2821216,51.2608611,-0.5103708,70.6568591102801
Weybridge,,,933,S 420,1,Surrey,Kingston-on-Thames,51.3727175,-0.4549297,Shire match,,51.6743611,-1.2821216,51.3727175,-0.4549297,66.4999646979848
White Waltham,,,933,S 420,1,Berkshire,Kingston-on-Thames,51.4908971,-0.7683543,No shire match,,51.6743611,-1.2821216,51.4908971,-0.7683543,41.0467597361154
Woodham in Chertsey,51.344716560443,-0.512534301589047,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,51.344716560443,-0.512534301589047,64.8052989888756
Ewell,,,933,S 420,1,Surrey,Kingston-on-Thames,51.3502402,-0.2511759,Shire match,,51.6743611,-1.2821216,51.3502402,-0.2511759,80.1406292806346
Ham,,,931,S 416,1,Wiltshire,Lifton,51.3567244,-1.5189153,Shire match,"This had the donation site ""Lifton, Westminster""",50.6431937101345,-4.28368935052656,51.3567244,-1.5189153,209.669485197673
Brabourne,,,996,S 877,1,Kent,London,51.1390871,0.9804239,Shire match,,51.4893335,-0.1440551,51.1390871,0.9804239,87.5496625388737
